Date,Temperature (°C),Humidity (%),TDS Value (ppm),pH Level,Survival Rate (%)
2023-08-03,30.9,73.1,670,7,47.02387581
2023-08-04,10.7,53.8,1498.7,7,67.76748656
2023-08-05,33.6,33.2,1581.5,7.9,21.69806109
2023-08-06,30.5,57.6,1757.2,7.3,47.2917394
2023-08-07,10.3,52.1,1868.8,7.5,46.10763904
2023-08-08,18.1,39.7,797.2,6.2,80.48646835
2023-08-09,13.4,71.4,563,7.5,45.23507718
2023-08-10,27,38.6,1193.1,5.2,38.45324997
2023-08-11,10.7,44.9,772,6.6,50.29576217
2023-08-12,22.8,88.4,1284.1,7.3,66.31762374
2023-08-13,27.4,82.7,1757,7.5,20.86261866
2023-08-14,12.5,46.3,1137.7,7.4,46.8874042
2023-08-15,27.6,37,1262,5.5,37.2019781
2023-08-16,15.8,55,902.7,7.6,90.309174
2023-08-17,22.7,39,1896.7,5.4,43.9259462
2023-08-18,18,81.4,1620.8,6,60.4406349
2023-08-19,22.7,41.5,1561.5,5.6,49.52023307
2023-08-20,13.9,33.9,1752.2,7.8,12.21088086
2023-08-21,16.2,46.4,1753.3,6.2,65.87529187
2023-08-22,28.6,51.9,564.1,5,60.97023475
2023-08-23,16.6,53.9,1898.4,5.7,62.06766969
2023-08-24,10.7,46.8,1318.4,5.3,32.82552
2023-08-25,25,63.1,972.5,7.5,87.16251253
2023-08-26,25.6,52.6,1960.7,7,49.66734607
2023-08-27,12.2,59.2,994.5,7.9,61.86566949
2023-08-28,17.1,82.2,949,7.8,67.05350492
2023-08-29,12.7,73,847.9,7,48.08965739
2023-08-30,22.6,40.8,1289.1,6.9,80.23300309
2023-08-31,18.3,82.9,574.3,6.8,75.15285526
2023-09-01,28.1,73.2,991.5,5.5,46.02865101
2023-09-02,24,39.7,925.4,7.9,76.40762429
2023-09-03,16,35.9,846,6.3,82.22543181
2023-09-04,12.5,52,1643.3,7.5,39.24188479
2023-09-05,31.2,71.7,1894,6.9,27.18442109
2023-09-06,19.1,55.4,1712.9,7.2,63.56090453
2023-09-07,32.3,51.1,1790.2,7.9,45.35874585
2023-09-08,32.1,82.3,1396,6.9,46.71400566
2023-09-09,33.8,38.3,1430.6,7.9,42.87245364
2023-09-10,18.2,82,1934.3,5.8,43.35176624
2023-09-11,15.5,35.2,1067.1,6.2,78.45702078
2023-09-12,28.8,40.8,1728.7,7.4,20.72107396
