Date,Temperature (°C),Humidity (%),TDS Value (ppm),pH Level,Survival Rate (%)
2023-08-03,19.8,41,1719.9,7.1,50
2023-08-04,14.9,43,764.5,6.3,50
2023-08-05,17.5,48,932.1,5.3,70
2023-08-06,27.6,70,1842.8,7,50
2023-08-07,30.3,64,1876.4,5.1,40
2023-08-08,22.4,76,1891.7,5.6,50
2023-08-09,27.2,62,558.6,6,70
2023-08-10,18.4,34,677.6,6.7,80
2023-08-11,32.6,34,929.2,5.5,40
2023-08-12,18,74,807.3,6.1,80
2023-08-13,13.5,66,1012.5,5.4,60
2023-08-14,34.5,39,1058.4,6.7,50
2023-08-15,19.6,57,747.9,8,90
2023-08-16,23.1,58,1415.7,5.6,90
2023-08-17,25,55,669,6.9,100
2023-08-18,18.7,56,797.2,6.3,100
2023-08-19,25.5,58,1371.2,5,60
2023-08-20,15.2,61,970.3,6.8,100
2023-08-21,22,30,1170.6,7.3,70
2023-08-22,13.2,86,1301.8,6.4,50
2023-08-23,32.3,57,1246.2,5.7,60
2023-08-24,28.2,43,1405.4,5.1,40
2023-08-25,30,36,1900.7,5.7,20
2023-08-26,32.1,62,769.5,7.2,60
2023-08-27,34.4,42,1790.2,7.4,20
2023-08-28,20.5,63,1168.9,5.7,90
2023-08-29,21.8,38,1654.7,8,50
2023-08-30,33.5,30,628.8,5.1,40
2023-08-31,20.8,38,1792.1,6,60
2023-09-01,10.5,38,648.4,7.2,40
2023-09-02,14,72,1302.4,7.2,40
2023-09-03,23.4,53,1298,7.2,90
2023-09-04,16.1,35,1053.7,6.4,80
2023-09-05,25.8,58,1901.2,6.8,50
2023-09-06,11.3,67,999.9,6.3,70
2023-09-07,26.5,35,1740.6,5.1,20
2023-09-08,21.5,47,1566.1,5.2,50
2023-09-09,20.2,67,1878.2,7.8,70
2023-09-10,23.5,53,1108.2,5,90
2023-09-11,18.7,37,871.8,6.5,80
2023-09-12,33,83,1402.5,7.7,40
2023-09-13,21.5,30,1143.2,5.4,70
2023-09-14,26.6,70,1242.8,5.4,60
2023-09-15,32.1,37,1256,5,40
2023-09-16,17.8,79,761.5,6.3,80
2023-09-17,19,83,1605,6.3,60
2023-09-18,17,43,1869.3,7.1,50
2023-09-19,25.9,72,1613.2,6.9,30
2023-09-20,11.6,87,1237.3,6.5,50
2023-09-21,12.5,82,1100.5,6.4,50
2023-09-22,28.6,72,1353.3,6.8,50
2023-09-23,13.5,53,1516.1,7.5,40
2023-09-24,18.5,82,1973.7,7.7,50
2023-09-25,21.2,61,1142.9,7,100
2023-09-26,13.3,45,1712.2,6.7,30
2023-09-27,17.4,60,588.9,7.7,90
2023-09-28,21.8,82,1842.3,7.8,50
2023-09-29,11.1,60,533.6,7.1,60
2023-09-30,34,82,973.5,6.4,50
2023-10-01,11.7,54,503.4,6.9,70
2023-10-02,10.4,61,713.1,7.5,60
2023-10-03,34.4,74,1335.8,5.6,40
2023-10-04,13.7,89,554.1,6.4,50
2023-10-05,17.4,72,976.2,6.1,80
2023-10-06,25,43,773.8,7.2,70
2023-10-07,31.5,38,552.2,6.2,50
2023-10-08,11.8,64,1049.5,6.1,70
2023-10-09,15,35,1655.8,5,50
2023-10-10,29,57,677,7.8,60
2023-10-11,31,69,776.4,7.4,60
2023-10-12,22.4,61,1896.8,5.2,70
2023-10-13,27.3,30,814.9,7.5,40
2023-10-14,14.9,80,1313.1,5.4,40
2023-10-15,33,65,1800.3,6.8,50
2023-10-16,14,72,1370.5,7.6,40
2023-10-17,27,38,1287.8,7.5,40
2023-10-18,22.9,49,508.6,5,70
2023-10-19,22.6,85,582.7,5.7,70
2023-10-20,22.3,42,1487,5.1,70
2023-10-21,12,65,950,5,60
2023-10-22,25.5,57,1601.6,7.6,40
2023-10-23,18.4,65,1615.7,7.7,70
2023-10-24,27.3,62,1969.8,6,50
2023-10-25,31.1,82,1220.5,5.5,40
2023-10-26,16.3,45,1826.7,6.5,60
2023-10-27,33.5,38,1593.2,5.2,20
2023-10-28,14.3,79,1480.9,5,40
2023-10-29,19.2,83,1488.6,6.3,80
2023-10-30,22.1,65,1200.4,5.4,90
2023-10-31,13.1,62,1212.6,6.9,70
2023-11-01,20.6,64,570.7,6.8,100
2023-11-02,19.2,55,1644.5,7.1,70
2023-11-03,25.3,85,898.4,5.8,40
2023-11-04,30,84,1062.5,5.7,40
2023-11-05,12.5,80,1845,5.5,20
2023-11-06,20.3,57,1029.9,6.2,100
2023-11-07,21.6,42,1544.7,5.6,50
2023-11-08,19.5,72,842.4,5.3,70
2023-11-09,26.3,44,1979.6,5.2,20
2023-11-10,21.6,76,1019.4,5.9,70
2023-11-11,17.4,89,1197.4,5.7,70
2023-11-12,14.2,48,862.3,5,40
2023-11-13,26.1,38,1694.6,7.2,20
